,Genus,Type,Site,relative_abundance
54,g__Inocybe,Root,BGM_4,1.214819565
55,g__Inocybe,Root,BGM_F,0
636,g__Inocybe,Root,RGM_Pit,0
637,g__Inocybe,Root,RGM_Process,0
66,g__Laccaria,Soil,BGM_1,3.64293333
67,g__Laccaria,Soil,BGM_2,0.3853296
68,g__Laccaria,Soil,BGM_3,0
69,g__Laccaria,Soil,BGM_4,0.000422826
70,g__Laccaria,Soil,BGM_F,0.000684294
61,g__Laccaria,Root,BGM_1,1.952328224
62,g__Laccaria,Root,BGM_2,0.707665781
63,g__Laccaria,Root,BGM_3,0
64,g__Laccaria,Root,BGM_4,0
65,g__Laccaria,Root,BGM_F,0
316,g__Lactarius,Soil,HKM_1,0
317,g__Lactarius,Soil,HKM_2,0.001795268
318,g__Lactarius,Soil,HKM_3,0.000586951
319,g__Lactarius,Soil,HKM_4,2.467482351
320,g__Lactarius,Soil,HKM_F,0.002258407
642,g__Lactarius,Soil,RGM_Pit,0.23055141
643,g__Lactarius,Soil,RGM_Process,0.0098761
535,g__Lactarius,Soil,SH_F,0
536,g__Lactarius,Soil,SH_M,0.754413485
537,g__Lactarius,Soil,SH_P,0
311,g__Lactarius,Root,HKM_1,0
312,g__Lactarius,Root,HKM_2,0.003269256
313,g__Lactarius,Root,HKM_3,0.063318691
314,g__Lactarius,Root,HKM_4,0
315,g__Lactarius,Root,HKM_F,0.004609357
640,g__Lactarius,Root,RGM_Pit,0
641,g__Lactarius,Root,RGM_Process,0.391079167
646,g__Lactifluus,Soil,RGM_Pit,2.881414304
647,g__Lactifluus,Soil,RGM_Process,0
644,g__Lactifluus,Root,RGM_Pit,0.012365143
645,g__Lactifluus,Root,RGM_Process,0
538,g__Lecanicillium,Soil,SH_F,0
539,g__Lecanicillium,Soil,SH_M,0.048521748
540,g__Lecanicillium,Soil,SH_P,0.008488484
650,g__Leptodontidium,Soil,RGM_Pit,0.820801286
651,g__Leptodontidium,Soil,RGM_Process,0.026934818
648,g__Leptodontidium,Root,RGM_Pit,5.845621194
649,g__Leptodontidium,Root,RGM_Process,2.688228869
76,g__Leptosphaeria,Soil,BGM_1,0.5071507
77,g__Leptosphaeria,Soil,BGM_2,0.927465314
78,g__Leptosphaeria,Soil,BGM_3,1.084904558
79,g__Leptosphaeria,Soil,BGM_4,1.053601429
80,g__Leptosphaeria,Soil,BGM_F,0.277921154
326,g__Leptosphaeria,Soil,HKM_1,0.072670317
327,g__Leptosphaeria,Soil,HKM_2,0.025432959
328,g__Leptosphaeria,Soil,HKM_3,0.022656305
329,g__Leptosphaeria,Soil,HKM_4,2.505012901
330,g__Leptosphaeria,Soil,HKM_F,0.01315522
654,g__Leptosphaeria,Soil,RGM_Pit,0.530459572
655,g__Leptosphaeria,Soil,RGM_Process,0.672472616
541,g__Leptosphaeria,Soil,SH_F,0.001048593
542,g__Leptosphaeria,Soil,SH_M,1.206097788
543,g__Leptosphaeria,Soil,SH_P,0.346896044
71,g__Leptosphaeria,Root,BGM_1,0.392685776
72,g__Leptosphaeria,Root,BGM_2,0.875131287
73,g__Leptosphaeria,Root,BGM_3,1.367178378
74,g__Leptosphaeria,Root,BGM_4,0.95767248
75,g__Leptosphaeria,Root,BGM_F,0.066847388
321,g__Leptosphaeria,Root,HKM_1,0.053759735
322,g__Leptosphaeria,Root,HKM_2,0.107231594
323,g__Leptosphaeria,Root,HKM_3,0.033242313
324,g__Leptosphaeria,Root,HKM_4,1.912064667
325,g__Leptosphaeria,Root,HKM_F,0.079741876
652,g__Leptosphaeria,Root,RGM_Pit,3.076215648
653,g__Leptosphaeria,Root,RGM_Process,3.432072015
658,g__Luellia,Soil,RGM_Pit,0.00191329
659,g__Luellia,Soil,RGM_Process,0
656,g__Luellia,Root,RGM_Pit,0
657,g__Luellia,Root,RGM_Process,3.533805447
86,g__Meliniomyces,Soil,BGM_1,0.493837602
87,g__Meliniomyces,Soil,BGM_2,0.390248702
88,g__Meliniomyces,Soil,BGM_3,0.003066043
89,g__Meliniomyces,Soil,BGM_4,0.001268477
90,g__Meliniomyces,Soil,BGM_F,0.418103684
336,g__Meliniomyces,Soil,HKM_1,1.508203044
337,g__Meliniomyces,Soil,HKM_2,1.17031505
338,g__Meliniomyces,Soil,HKM_3,1.054946431
339,g__Meliniomyces,Soil,HKM_4,0.694617847
340,g__Meliniomyces,Soil,HKM_F,0.580034177
662,g__Meliniomyces,Soil,RGM_Pit,0.070791719
663,g__Meliniomyces,Soil,RGM_Process,0.116717544
81,g__Meliniomyces,Root,BGM_1,2.155331507
82,g__Meliniomyces,Root,BGM_2,0.158057332
83,g__Meliniomyces,Root,BGM_3,0
84,g__Meliniomyces,Root,BGM_4,0
