"","Taxa","OTU","BGM_1_Root","BGM_1_Soil","BGM_2_Root","BGM_2_Soil","BGM_3_Root","BGM_3_Soil","BGM_4_Root","BGM_4_Soil","BGM_F_Root","BGM_F_Soil","HKM_1_Root","HKM_1_Soil","HKM_2_Root","HKM_2_Soil","HKM_3_Root","HKM_3_Soil","HKM_4_Root","HKM_4_Soil","HKM_F_Root","HKM_F_Soil","SH_F_Soil","SH_M_Soil","SH_P_Soil","RGM_Pit_Root","RGM_Pit_Soil","RGM_Process_Root","RGM_Process_Soil"
"32","c__Leotiomycetes;f__Hyaloscyphaceae;g__unidentified","OTU_64","","","","","","","","","","","0.41","0.05","9.55","2.13","6.18","2.06","3.11","0.71","0","0.16","","","","","","",""
"33","c__Eurotiomycetes;f__unidentified;g__unidentified","OTU_34","","","","","","","","","","","0.1","0.47","7.4","3.28","1.44","2.78","3.54","1.18","1.72","0.9","","","","","","",""
"34","c__Leotiomycetes;f__Myxotrichaceae;g__Oidiodendron","OTU_89","","","","","","","","","","","0.18","0.47","4.4","1.33","2","1.71","8.99","1.65","0.29","0.2","","","","","","",""
"35","c__Agaricomycetes;f__Cortinariaceae;g__Cortinarius","OTU_24","","","","","","","","","","","0","0","0.01","2.56","0.02","16.59","0","0.01","0","0","","","","","","",""
"36","c__Mortierellomycetes;f__Mortierellaceae;g__Mortierella","OTU_60","","","","","","","","","","","0.14","4.7","0.03","6.18","0.01","0.02","0","0","0.08","1.52","","","","","","",""
"37","c__Agaricomycetes;f__unidentified;g__unidentified","OTU_46","","","","","","","","","","","0","0","6.85","3.87","0.01","0","0","0","0","0","","","","","","",""
"38","c__Leotiomycetes;f__Myxotrichaceae;g__Oidiodendron","OTU_91","","","","","","","","","","","0.03","0.44","0.53","2.32","0.43","1.82","2.22","1.37","0.02","0.21","","","","","","",""
"39","c__Agaricomycetes;f__Clavulinaceae;g__Clavulina","OTU_65","","","","","","","","","","","0","0","0.65","8.05","0.01","0","0","0","0","0","","","","","","",""
"40","c__Mortierellomycetes;f__Mortierellaceae;g__Mortierella","OTU_61","","","","","","","","","","","0","1.06","0.05","6.65","0.01","0","0.4","0.13","0","0","","","","","","",""
"41","c__Agaricomycetes;f__Russulaceae;g__Russula","OTU_106","","","","","","","","","","","0","0","3.42","4.24","0","0.48","0","0.05","0","0","","","","","","",""
"42","c__Umbelopsidomycetes;f__Umbelopsidaceae;g__Umbelopsis","OTU_29","","","","","","","","","","","0","0","0.17","5.8","0","0.3","0.09","0.34","0.01","1.21","","","","0","1.55","0.01","1.58"
"43","c__Mortierellomycetes;f__Mortierellaceae;g__Mortierella","OTU_27","","","","","","","","","","","0.16","3.46","0.06","1.27","0.01","2.42","0.09","0.01","0.05","0.25","","","","0.66","6.39","0.18","15.47"
