OTUId	SH54d.R1	BGM.PS2.1d.R1	BGM.PS3.3.R1	BGM.PS2.3d.R1	SH40.R1	SH17.R1	BGM.PS3.2d.R1	BGM.PS1.3d.R1	BGM.R4.2.R1	SH32.R1	BGM.PS2.2d.R1	BGM.PS4.3.R1	SH39.R1	SH30.R1	SH29.R1	BGM.R4.3.R1	BGM.PS2.1.R1	SH25.R1	BGM.PS3.2.R1	SH49.R1	SH49d.R1	BGM.PS4.2d.R1	BGM.PS1.2.R1	SH31.R1	SH54.R1	BGM.R2.3.R1	BGM.PSFd.R1	SH28.R1	BGM.PS1.1d.R1	BGM.PS1.3.R1	SH26.R1	BGM.PS2.2.R1	BGM.PSF.R1	BGM.RF.R1	SH51d.R1	BGM.R2.1.R1	BGM.R1.3.R1	SH47d.R1	BGM.PS4.3d.R1	BGM.R3.2.R1	SH37.R1	SH51.R1	BGM.R2.2.R1	SH47.R1	BGM.PS2.3.R1	SH53.R1	BGM.R3.3.R1	BGM.PS1.2d.R1	SH35.R1	SH33.R1	BGM.R4.1.R1	BGM.PS4.1.R1	BGM.PS4.2.R1	SH53d.R1	BGM.R1.2.R1	SH19.R1	SH23.R1	SH27.R1	SH20.R1	BGM.PS4.1d.R1	SH36.R1	SH34.R1	BGM.PS1.1.R1	BGM.PS3.3d.R1	SH21.R1	SH38.R1	SH22.R1	BGM.R1.1.R1	BGM.PS3.1d.R1	BGM.PS3.1.R1	SH18.R1	SH24.R1	SH46.R1	SH41.R1	SH52.R1	BGM.S.1.2.2.R1	RGM.S.Pit.1.2.R1	BGM.R.4.2.1.R1	HKM.S.4.3.1.R1	SH.BS.53.R1	BGM.S.1.2.3.R1	BGM.S.F.1.1.R1	BGM.S.2.1.2.R1	BGM.S.1.1.3.R1	HKM.S.2.2.2.R1	HKM.R.4.2.1.R1	SH.BS.39.R1	HKM.S.1.3.3.R1	BGM.S.1.3.3.R1	BGM.R.1.3.1.R1	HKM.S.4.1.3.R1	BGM.BR.S.3.R1	SH.BS.54d.R1	BGM.S.3.3.3.R1	SH.BS.40.R1	BGM.S.2.3.1.R1	HKM.S.4.1.1.R1	HKM.S.4.3.2.R1	BGM.S.4.3.2.R1	BGM.S.1.1.2.R1	SH.BS.53d.R1	SH.BS.47.R1	BGM.BR.S.2.R1	SH.BS.54.R1	BGM.BR.F.1.R1	NCTL.old2.R1	HKM.S.4.3.3.R1	BGM.S.3.3.1.R1	BGM.S.4.1.2.R1	HKM.S.4.2.3.R1	SH.BS.25.R1	NCLT6.R1	BGM.S.1.3.2.R1	SH.BS.51d.R1	HKM.S.1.2.2.R1	BGM.BR.F.3.R1	SH.BS.33.R1	BGM.S.2.2.2.R1	HKM.S.3.2.1.R1	HKM.S.2.1.2.R1	RGM.S.Proc.1.2.R1	BGM.S.4.1.3.R1	HKM.R.3.2.2.R1	BGM.S.4.3.3.R1	RGM.R.Proc.1.1.R1	HKM.R.3.2.1.R1	HKM.S.1.3.1.R1	HKM.S.4.1.2.R1	SH.BS.31.R1	SH.BS.35.R1	HKM.S.3.3.3.R1	SH.BS.49d.R1	HKM.S.1.2.3.R1	BGM.S.3.1.2.R1	RGM.R.Pit.1.1.R1	NCTL1.R1	BGM.BR.2.3.R1	HKM.S.4.2.1.R1	NCTL3.R1	HKM.S.4.2.2.R1	NCTL4.R1	BGM.R.2.3.1.R1	HKM.S.F.1.3.R1	SH.BS.51.R1	BGM.BR.3.2.R1	HKM.R.4.1.2.R1	BGM.S.F.1.6.R1	BGM.S.3.2.3.R1	HKM.S.2.2.1.R1	NCTL5.R1	BGM.S.2.3.2.R1	HKM.S.3.2.3.R1	HKM.S.F.1.2.R1	NCTL2.R1	HKM.S.F.1.4.R1	SH.BS.47d.R1	RGM.S.Proc.1.3.R1	HKM.S.2.3.2.R1	BGM.BR.4.1.R1	SH.BS.22.R1	BGM.S.3.1.3.R1	BGM.S.2.2.3.R1	HKM.R.F.1.1.R1	BGM.R.2.1.1.R1	BGM.R.2.2.1.R1	BGM.S.4.2.2.R1	RGM.S.Proc.1.1.R1	BGM.S.3.3.2.R1	BGM.R.1.2.1.R1	HKM.S.2.2.3.R1	HKM.S.3.1.2.R1	HKM.S.3.3.1.R1	BGM.S.4.1.1.R1	BGM.S.2.3.3.R1	BGM.S.F.1.9.R1	BGM.S.F.1.7.R1	RGM.R.Proc.1.2.R1	BGM.BR.S.1.R1	BGM.S.3.2.2.R1	BGM.S.4.2.1.R1	SH.BS.37.R1	BGM.S.F.1.2.R1	HKM.S.2.3.1.R1	BGM.BR.1.3.R1	BGM.S.1.2.1.R1	RGM.S.Pit.1.3.R1	HKM.S.1.3.2.R1	HKM.S.2.1.1.R1	HKM.S.1.1.3.R1	BGM.S.F.1.3.R1	HKM.R.F.1.2.R1	RGM.S.Pit.1.1.R1	HKM.S.F.1.8.R1	BGM.S.3.2.1.R1	BGM.BR.3.3.R1	HKM.S.F.1.9.R1	BGM.S.4.2.3.R1	BGM.S.2.1.3.R1	BGM.BR.F.2.R1	BGM.S.2.1.1.R1	SH.BS.28.R1	SH.BS.34.R1	SH.BS.27.R1	HKM.S.2.1.3.R1	BGM.S.4.3.1.R1	BGM.R.4.3.1.R1	SH.BS.49.R1	HKM.S.1.2.1.R1	BGM.S.2.2.1.R1	BGM.S.F.1.4.R1	HKM.S.F.1.5.R1	BGM.BR.1.2.R1	HKM.S.3.3.2.R1	BGM.BR.2.1.R1	BGM.S.F.1.5.R1	HKM.S.3.2.2.R1	HKM.S.F.1.7.R1	HKM.S.F.1.1.R1	HKM.S.F.1.6.R1	SH.BS.30.R1	BGM.BR.4.3.R1	BGM.R.F.1.1.R1	BGM.S.F.1.8.R1	HKM.S.1.1.1.R1	BGM.BR.2.2.R1	BGM.BR.3.1.R1	HKM.R.1.3.1.R1	HKM.S.3.1.3.R1	SH.BS.38.R1	RGM.R.Pit.1.2.R1	SH.BS.32.R1	SH.BS.19.R1	HKM.S.1.1.2.R1	SH.BS.36.R1	HKM.R.2.2.1.R1	SH.BS.29.R1	BGM.R.3.3.1.R1	SH.BS.20.R1	SH.BS.21.R1	HKM.R.2.1.1.R1	HKM.S.2.3.3.R1	SH.BS.17.R1	SH.BS.26.R1	SH.BS.23.R1	BGM.R.4.1.1.R1	HKM.S.3.1.1.R1	BGM.BR.1.1.R1	BGM.BR.4.2.R1	BGM.S.1.3.1.R1	HKM.R.1.2.1.R1	BGM.S.3.1.1.R1	SH.BS.18.R1	NCTL.old1.R1	BGM.R.3.2.1.R1	SH.BS.24.R1	BGM.S.1.1.1.R1	BGM.R.1.1.1.R1	SH.BS.52.R1	SH.BS.43.R1	SH.BS.42.R1	SH.BS.46.R1	SH.BS.44.R1	SH.BS.41.R1	SH.BS.45.R1	SH.BS.52d.R1	M12R.ITS.R1	M11D.ITS.R1	M9R.ITS.R1	M3D.ITS.R1	M1D.ITS.R1	M11R.ITS.R1	M12D.ITS.R1	M4D.ITS.R1	M2D.ITS.R1	M2R.ITS.R1	M10D.ITS.R1	M1R.ITS.R1	M5D.ITS.R1	M3R.ITS.R1	M7D.ITS.R1	M10R.ITS.R1	M9D.ITS.R1
OTU_1753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2975	0	1	0	0	0	0	0	0	0	1622	0	1998	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2037	1	0	1214	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1701	0	0	0	0	0	1941	2245	2190	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	132	0	80	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	111	0	1	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	172	216	99	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3146	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	1	0	0	479	1	0	0	0	0	0	0	0	0	151	0	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	434	268	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	22	0	0	0	0	0	7	2	0	0	0	0	0	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2028	0	1	6	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	0	3459	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3552	0	0	0	0	1642	0	2	0	0	0	0	2	0	0	0	5	0	0	1	0	1735	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	63	0	1	0	0	0	0	0	0	1	0	0	0	0	183	3503	0	0	0	1	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5106	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	1	391	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	299	0	0	0	1	0	2425	0	0	0	3	0	215	0	0	0	8	0	291	0	0	1	0	51	0	452	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2385	0	0	0	0	0	0	0	0	0	3075	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	14	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0
OTU_1541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	903	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	1	0	0	0	0	2026	0	0	0	0	0	89	0	0	0	0	0	0	0	20	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1122	0	294	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	123	0	5	4	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	4734	0	0	0	0	18	0	0	0	0	2737	0	4069	0	1	0	0	0	0	0	711	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1001	0	4357	0	0	4323	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3848	0	0	0	1	0	4390	4442	4336	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	13125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
